ID,Name,Age,Height,Weight,Gender,Income,Scores
1,Person_8_1,61,151.3,59.2,Female,22699.0,68.0
2,Person_8_2,36,151.2,60.8,Female,64777.0,60.0
3,Person_8_3,34,152.3,85.3,Female,49646.0,
4,Person_8_4,48,181.9,73.6,Female,78991.0,91.0
5,Person_8_5,35,191.6,58.0,Male,37482.0,82.0
6,Person_8_6,26,170.7,86.3,Female,25565.0,55.0
7,Person_8_7,60,158.3,67.8,Male,38479.0,88.0
8,Person_8_8,36,170.1,84.4,Female,51703.0,86.0
9,Person_8_9,42,183.3,82.7,Female,78472.0,68.0
10,Person_8_10,41,161.6,61.4,Male,37655.0,91.0
11,Person_8_11,64,185.8,62.2,Male,,64.0
12,Person_8_12,49,185.8,88.4,Female,85686.0,83.0
13,Person_8_13,34,154.0,53.4,Female,88128.0,
14,Person_8_14,67,190.3,99.7,Female,25527.0,
15,Person_8_15,66,191.5,71.1,Male,80470.0,58.0
16,Person_8_16,23,159.6,93.8,Male,77255.0,53.0
17,Person_8_17,30,165.3,71.6,Female,51838.0,78.0
18,Person_8_18,24,156.1,69.5,Male,98701.0,54.0
19,Person_8_19,21,172.9,96.5,Female,69793.0,
20,Person_8_20,53,152.7,89.8,Male,43414.0,91.0
21,Person_8_21,55,199.6,55.5,Male,74190.0,55.0
22,Person_8_22,50,182.8,83.1,Female,46360.0,54.0
23,Person_8_23,52,161.3,57.9,Male,76377.0,83.0
24,Person_8_24,21,153.3,99.0,Female,57388.0,55.0
25,Person_8_25,51,189.7,69.6,Female,38628.0,71.0
26,Person_8_26,42,165.4,98.2,Female,48398.0,87.0
27,Person_8_27,33,166.7,57.0,Female,78438.0,94.0
28,Person_8_28,35,167.5,63.9,Male,20001.0,
29,Person_8_29,36,162.0,98.0,Male,90752.0,59.0
30,Person_8_30,30,155.8,85.2,Male,,93.0
31,Person_8_31,69,175.4,66.4,Male,95885.0,60.0
32,Person_8_32,54,188.0,74.3,Male,70935.0,94.0
33,Person_8_33,49,152.5,94.6,Male,74453.0,89.0
34,Person_8_34,25,193.8,86.2,Female,71954.0,50.0
35,Person_8_35,31,192.9,55.1,Male,71616.0,75.0
36,Person_8_36,42,164.9,84.0,Male,92424.0,76.0
37,Person_8_37,33,191.0,56.9,Male,55494.0,77.0
38,Person_8_38,45,182.3,75.5,Male,45121.0,64.0
39,Person_8_39,66,155.7,59.5,Male,,51.0
40,Person_8_40,40,180.6,90.7,Female,57374.0,88.0
41,Person_8_41,42,150.8,54.8,Female,38729.0,87.0
42,Person_8_42,19,198.7,76.4,Male,30300.0,65.0
43,Person_8_43,32,151.7,55.3,Male,,79.0
44,Person_8_44,34,187.7,59.0,Female,76340.0,76.0
45,Person_8_45,59,163.0,53.7,Male,29170.0,68.0
46,Person_8_46,49,181.5,86.6,Female,56907.0,54.0
47,Person_8_47,46,169.2,50.4,Male,46246.0,70.0
48,Person_8_48,25,155.8,68.1,Female,54242.0,72.0
49,Person_8_49,32,177.3,81.7,Male,61953.0,95.0
50,Person_8_50,33,199.7,78.7,Female,70498.0,74.0
51,Person_8_51,53,153.4,59.0,Male,62345.0,51.0
52,Person_8_52,28,173.2,80.8,Male,,66.0
53,Person_8_53,58,151.7,63.7,Male,66240.0,94.0
54,Person_8_54,26,156.3,76.4,Female,47421.0,98.0
55,Person_8_55,41,173.2,57.0,Male,,99.0
56,Person_8_56,63,156.3,69.2,Female,34521.0,53.0
57,Person_8_57,43,195.4,67.3,Male,60108.0,56.0
58,Person_8_58,68,183.9,78.2,Male,38493.0,50.0
59,Person_8_59,18,172.8,51.2,Male,72642.0,83.0
60,Person_8_60,39,156.4,58.1,Female,97481.0,71.0
61,Person_8_61,48,178.9,71.4,Male,51582.0,69.0
62,Person_8_62,37,179.2,95.3,Male,86190.0,79.0
63,Person_8_63,57,179.9,82.9,Female,,96.0
64,Person_8_64,37,181.0,66.0,Male,37897.0,93.0
65,Person_8_65,69,199.1,93.8,Male,48265.0,57.0
66,Person_8_66,26,169.6,81.1,Female,89705.0,55.0
67,Person_8_67,57,178.0,54.0,Male,79414.0,83.0
68,Person_8_68,47,156.9,59.6,Female,45123.0,50.0
69,Person_8_69,66,185.5,99.1,Female,84618.0,98.0
70,Person_8_70,62,182.3,62.0,Female,51464.0,68.0
71,Person_8_71,59,167.7,73.5,Female,31535.0,
72,Person_8_72,35,167.7,73.9,Female,41682.0,56.0
73,Person_8_73,33,192.5,93.6,Male,78544.0,85.0
74,Person_8_74,57,186.6,68.1,Male,81911.0,
75,Person_8_75,20,182.4,78.3,Female,22109.0,
76,Person_8_76,26,164.1,66.5,Male,45504.0,53.0
77,Person_8_77,20,150.8,75.3,Male,60846.0,93.0
78,Person_8_78,49,186.1,79.8,Female,98353.0,68.0
79,Person_8_79,61,160.4,76.2,Male,43416.0,68.0
80,Person_8_80,55,179.0,67.5,Female,50867.0,65.0
81,Person_8_81,54,179.5,69.0,Female,54244.0,81.0
82,Person_8_82,40,193.2,73.8,Male,55710.0,58.0
83,Person_8_83,56,170.0,69.6,Female,70877.0,56.0
84,Person_8_84,27,182.0,93.3,Female,,93.0
85,Person_8_85,49,193.4,81.3,Male,49267.0,91.0
86,Person_8_86,47,172.1,95.3,Male,44515.0,
87,Person_8_87,65,173.3,77.1,Female,99383.0,74.0
88,Person_8_88,19,191.1,92.3,Male,70340.0,
89,Person_8_89,20,187.5,96.6,Male,,81.0
90,Person_8_90,49,169.9,85.2,Male,54541.0,95.0
91,Person_8_91,33,180.5,55.2,Male,25154.0,91.0
92,Person_8_92,59,189.8,69.8,Male,35394.0,72.0
93,Person_8_93,33,190.1,53.1,Female,81462.0,95.0
94,Person_8_94,65,165.4,61.5,Male,21112.0,69.0
95,Person_8_95,45,183.2,65.4,Female,85843.0,56.0
96,Person_8_96,23,197.9,62.6,Female,36483.0,97.0
97,Person_8_97,39,156.2,71.9,Male,55756.0,85.0
98,Person_8_98,56,160.8,90.3,Male,,82.0
99,Person_8_99,54,175.8,95.3,Female,84181.0,58.0
100,Person_8_100,64,193.7,75.7,Female,67605.0,51.0
