ID,Name,Age,Height,Weight,Gender,Income,Scores
1,Person_9_1,19,188.8,60.9,Male,87104.0,97.0
2,Person_9_2,67,190.3,52.3,Male,34443.0,93.0
3,Person_9_3,47,199.3,87.1,Female,86696.0,80.0
4,Person_9_4,57,166.1,69.5,Female,93367.0,97.0
5,Person_9_5,29,172.1,78.9,Male,40529.0,82.0
6,Person_9_6,38,181.4,85.1,Female,71506.0,50.0
7,Person_9_7,59,177.6,87.5,Male,91477.0,58.0
8,Person_9_8,37,167.6,67.4,Male,21662.0,71.0
9,Person_9_9,27,187.2,70.1,Female,75109.0,56.0
10,Person_9_10,61,157.4,64.2,Female,60592.0,63.0
11,Person_9_11,62,153.2,77.9,Male,62283.0,
12,Person_9_12,30,199.3,84.6,Male,54702.0,82.0
13,Person_9_13,49,183.2,97.0,Female,85365.0,69.0
14,Person_9_14,64,198.4,99.3,Female,65925.0,70.0
15,Person_9_15,41,186.4,69.5,Male,53066.0,91.0
16,Person_9_16,36,185.5,50.2,Female,34997.0,87.0
17,Person_9_17,56,194.6,56.4,Male,40505.0,77.0
18,Person_9_18,64,185.6,97.4,Female,52213.0,52.0
19,Person_9_19,67,179.9,72.8,Male,25620.0,70.0
20,Person_9_20,61,189.9,97.9,Male,33449.0,78.0
21,Person_9_21,23,151.7,84.3,Female,26941.0,51.0
22,Person_9_22,65,158.7,99.4,Male,32421.0,98.0
23,Person_9_23,50,190.9,74.8,Male,47018.0,
24,Person_9_24,23,182.0,55.3,Female,92164.0,57.0
25,Person_9_25,31,168.9,96.8,Male,,56.0
26,Person_9_26,64,191.8,62.9,Male,,85.0
27,Person_9_27,26,174.8,66.4,Female,77071.0,60.0
28,Person_9_28,55,181.7,86.5,Male,68508.0,81.0
29,Person_9_29,37,195.1,61.2,Female,29659.0,77.0
30,Person_9_30,28,158.6,95.4,Male,88946.0,86.0
31,Person_9_31,25,184.2,77.6,Male,27582.0,79.0
32,Person_9_32,36,181.6,81.5,Male,25579.0,66.0
33,Person_9_33,65,167.0,96.5,Male,81202.0,83.0
34,Person_9_34,29,155.8,86.6,Female,88046.0,78.0
35,Person_9_35,24,190.0,87.7,Female,58549.0,57.0
36,Person_9_36,56,181.2,97.6,Female,97994.0,74.0
37,Person_9_37,52,169.2,81.3,Female,69280.0,57.0
38,Person_9_38,40,157.0,81.2,Female,49215.0,
39,Person_9_39,47,193.2,83.3,Female,34546.0,87.0
40,Person_9_40,18,159.7,57.4,Male,98834.0,59.0
