ID,Name,Age,Height,Weight,Gender,Income,Scores
1,Person_10_1,43,195.9,99.6,Male,30778.0,72.0
2,Person_10_2,28,182.3,75.5,Male,30429.0,
3,Person_10_3,50,185.8,83.2,Male,69204.0,
4,Person_10_4,53,155.8,68.7,Male,,87.0
5,Person_10_5,53,173.2,70.8,Female,93930.0,62.0
6,Person_10_6,52,167.8,57.4,Female,36360.0,98.0
7,Person_10_7,49,150.2,84.7,Male,77541.0,92.0
8,Person_10_8,19,166.0,87.3,Female,26422.0,
9,Person_10_9,43,174.4,51.8,Male,37046.0,69.0
10,Person_10_10,45,160.4,50.1,Female,27347.0,60.0
11,Person_10_11,57,150.2,87.3,Male,56323.0,83.0
12,Person_10_12,23,182.8,76.2,Female,96623.0,67.0
13,Person_10_13,59,157.4,74.0,Male,94376.0,77.0
14,Person_10_14,56,153.0,87.5,Male,,73.0
15,Person_10_15,23,157.7,89.3,Female,30338.0,75.0
16,Person_10_16,46,164.1,80.0,Male,75506.0,75.0
17,Person_10_17,35,187.3,95.3,Male,45024.0,71.0
18,Person_10_18,30,191.6,59.8,Male,26230.0,79.0
19,Person_10_19,36,175.5,95.7,Female,94251.0,59.0
20,Person_10_20,55,173.4,95.8,Female,21938.0,58.0
21,Person_10_21,18,153.6,74.1,Female,56329.0,98.0
22,Person_10_22,50,157.5,82.9,Male,32622.0,80.0
23,Person_10_23,67,153.8,81.9,Female,44176.0,
24,Person_10_24,53,175.6,77.9,Female,44046.0,68.0
25,Person_10_25,55,161.7,95.3,Male,41970.0,64.0
26,Person_10_26,18,167.5,63.3,Male,78510.0,85.0
27,Person_10_27,18,187.4,95.1,Female,98581.0,62.0
28,Person_10_28,53,196.8,68.4,Male,59196.0,75.0
29,Person_10_29,50,183.8,67.8,Female,30400.0,82.0
30,Person_10_30,54,150.6,90.3,Male,48788.0,71.0
31,Person_10_31,47,177.7,82.1,Female,,63.0
32,Person_10_32,67,153.8,52.5,Male,39215.0,95.0
33,Person_10_33,64,182.7,98.6,Male,92995.0,72.0
34,Person_10_34,45,155.8,92.0,Female,32690.0,84.0
35,Person_10_35,21,158.3,87.2,Female,,93.0
36,Person_10_36,36,181.7,58.6,Female,46028.0,90.0
37,Person_10_37,44,175.8,55.0,Female,,70.0
38,Person_10_38,44,172.0,50.8,Male,50034.0,55.0
39,Person_10_39,46,185.3,88.6,Male,36055.0,65.0
40,Person_10_40,60,150.4,76.2,Female,70738.0,84.0
41,Person_10_41,59,182.3,54.2,Male,42422.0,70.0
42,Person_10_42,55,195.0,54.1,Female,62420.0,59.0
43,Person_10_43,68,161.2,94.9,Male,22614.0,61.0
44,Person_10_44,52,160.1,99.5,Male,28596.0,81.0
45,Person_10_45,49,164.9,91.9,Female,87768.0,93.0
46,Person_10_46,45,154.5,76.5,Female,99016.0,
47,Person_10_47,52,164.5,63.9,Female,47291.0,54.0
48,Person_10_48,20,184.3,88.8,Female,50023.0,
49,Person_10_49,51,191.5,89.8,Female,,
50,Person_10_50,39,177.2,67.0,Female,74569.0,
51,Person_10_51,24,162.3,86.0,Male,50496.0,85.0
52,Person_10_52,65,163.3,56.5,Male,50238.0,68.0
53,Person_10_53,36,176.7,56.4,Female,55736.0,67.0
54,Person_10_54,61,174.1,64.1,Male,35329.0,79.0
55,Person_10_55,63,164.0,97.5,Female,65813.0,64.0
56,Person_10_56,41,173.5,75.2,Female,37897.0,76.0
57,Person_10_57,53,194.9,52.6,Male,,62.0
58,Person_10_58,66,199.4,74.1,Female,82666.0,54.0
59,Person_10_59,21,165.1,88.1,Male,32559.0,60.0
60,Person_10_60,23,183.6,68.6,Female,34631.0,57.0
61,Person_10_61,24,156.9,64.8,Male,36276.0,78.0
62,Person_10_62,67,174.3,56.5,Male,56152.0,73.0
63,Person_10_63,35,161.5,76.1,Male,91024.0,92.0
64,Person_10_64,55,166.5,80.9,Female,65591.0,79.0
65,Person_10_65,67,190.2,73.3,Female,69312.0,63.0
66,Person_10_66,44,189.9,58.4,Male,33634.0,87.0
67,Person_10_67,20,190.6,55.9,Male,99508.0,57.0
68,Person_10_68,19,171.2,91.9,Female,29020.0,
69,Person_10_69,34,192.6,58.5,Male,39422.0,77.0
70,Person_10_70,46,160.7,98.2,Male,45582.0,75.0
71,Person_10_71,57,199.6,81.9,Male,84407.0,67.0
72,Person_10_72,28,192.3,86.8,Female,83283.0,56.0
73,Person_10_73,65,180.1,54.4,Male,40515.0,66.0
74,Person_10_74,56,173.2,52.0,Female,32287.0,50.0
75,Person_10_75,19,172.3,74.7,Female,95281.0,74.0
76,Person_10_76,47,179.0,69.2,Male,,56.0
77,Person_10_77,44,196.5,88.6,Female,25390.0,90.0
78,Person_10_78,37,187.1,58.1,Male,57114.0,72.0
79,Person_10_79,52,159.8,78.0,Female,61608.0,64.0
80,Person_10_80,39,188.9,59.2,Female,30111.0,85.0
81,Person_10_81,68,178.3,76.1,Male,92761.0,65.0
82,Person_10_82,48,150.4,71.5,Female,30890.0,50.0
83,Person_10_83,64,170.7,81.9,Male,90180.0,89.0
84,Person_10_84,56,152.4,73.6,Male,37147.0,96.0
85,Person_10_85,54,188.4,66.6,Female,41330.0,73.0
86,Person_10_86,44,178.2,69.1,Male,63222.0,89.0
87,Person_10_87,33,178.1,58.1,Female,,66.0
88,Person_10_88,33,195.5,68.7,Female,44702.0,51.0
89,Person_10_89,18,199.6,71.8,Female,74386.0,93.0
90,Person_10_90,19,172.5,87.7,Female,73065.0,99.0
91,Person_10_91,58,163.4,96.8,Male,95317.0,97.0
92,Person_10_92,27,167.3,55.3,Female,,77.0
93,Person_10_93,44,185.0,86.2,Female,83836.0,87.0
94,Person_10_94,52,156.6,68.3,Male,29175.0,
95,Person_10_95,25,182.7,85.8,Male,27897.0,82.0
96,Person_10_96,68,176.9,91.7,Male,31721.0,51.0
97,Person_10_97,62,166.7,83.4,Male,84742.0,59.0
98,Person_10_98,65,189.2,60.5,Female,75891.0,59.0
99,Person_10_99,27,185.2,60.1,Male,28292.0,71.0
100,Person_10_100,57,174.2,71.9,Male,29398.0,54.0
